Period,Label1,Value
2021-03-14,Other passports,342
2021-03-14,Total,762
2021-03-15,New Zealand passport,157
2021-03-15,Other passports,86
2021-03-15,Total,243
2021-03-16,New Zealand passport,477
2021-03-16,Other passports,298
2021-03-16,Total,775
2021-03-17,New Zealand passport,56
2021-03-17,Other passports,22
2021-03-17,Total,78
2021-03-18,New Zealand passport,283
2021-03-18,Other passports,369
2021-03-18,Total,652
2021-03-19,New Zealand passport,88
2021-03-19,Other passports,216
2021-03-19,Total,304
2021-03-20,New Zealand passport,446
2021-03-20,Other passports,235
2021-03-20,Total,681
2021-03-21,New Zealand passport,338
2021-03-21,Other passports,340
2021-03-21,Total,678
2021-03-22,New Zealand passport,222
2021-03-22,Other passports,112
2021-03-22,Total,334
2021-03-23,New Zealand passport,483
2021-03-23,Other passports,294
2021-03-23,Total,777
2021-03-24,New Zealand passport,197
2021-03-24,Other passports,107
2021-03-24,Total,304
2021-03-25,New Zealand passport,312
2021-03-25,Other passports,522
2021-03-25,Total,834
2021-03-26,New Zealand passport,193
2021-03-26,Other passports,178
2021-03-26,Total,371
2021-03-27,New Zealand passport,578
2021-03-27,Other passports,314
2021-03-27,Total,892
2021-03-28,New Zealand passport,255
2021-03-28,Other passports,466
2021-03-28,Total,721
2021-03-29,New Zealand passport,255
2021-03-29,Other passports,150
2021-03-29,Total,405
2021-03-30,New Zealand passport,348
2021-03-30,Other passports,254
2021-03-30,Total,602
2021-03-31,New Zealand passport,284
2021-03-31,Other passports,226
2021-03-31,Total,510
2021-04-01,New Zealand passport,131
2021-04-01,Other passports,446
2021-04-01,Total,577
2021-04-02,New Zealand passport,276
2021-04-02,Other passports,314
2021-04-02,Total,590
2021-04-03,New Zealand passport,360
2021-04-03,Other passports,230
2021-04-03,Total,590
2021-04-04,New Zealand passport,305
2021-04-04,Other passports,342
2021-04-04,Total,647
2021-04-05,New Zealand passport,89
2021-04-05,Other passports,122
2021-04-05,Total,211
2021-04-06,New Zealand passport,324
2021-04-06,Other passports,203
2021-04-06,Total,527
2021-04-07,New Zealand passport,225
2021-04-07,Other passports,102
2021-04-07,Total,327
2021-04-08,New Zealand passport,171
2021-04-08,Other passports,363
2021-04-08,Total,534
2021-04-09,New Zealand passport,431
2021-04-09,Other passports,275
2021-04-09,Total,706
2021-04-10,New Zealand passport,371
2021-04-10,Other passports,315
2021-04-10,Total,686
2021-04-11,New Zealand passport,242
2021-04-11,Other passports,300
2021-04-11,Total,542
2021-04-12,New Zealand passport,349
2021-04-12,Other passports,197
2021-04-12,Total,546
2021-04-13,New Zealand passport,423
2021-04-13,Other passports,259
2021-04-13,Total,682
2021-04-14,New Zealand passport,236
2021-04-14,Other passports,201
2021-04-14,Total,437
2021-04-15,New Zealand passport,457
2021-04-15,Other passports,443
2021-04-15,Total,900
2021-04-16,New Zealand passport,444
2021-04-16,Other passports,369
2021-04-16,Total,813
2021-04-17,New Zealand passport,534
2021-04-17,Other passports,247
2021-04-17,Total,781
2021-04-18,New Zealand passport,429
2021-04-18,Other passports,297
2021-04-18,Total,726
2021-04-19,New Zealand passport,2019
2021-04-19,Other passports,674
2021-04-19,Total,2693
2021-04-20,New Zealand passport,1126
2021-04-20,Other passports,592
2021-04-20,Total,1718
2021-04-21,New Zealand passport,864
2021-04-21,Other passports,431
2021-04-21,Total,1295
2021-04-22,New Zealand passport,1472
2021-04-22,Other passports,988
2021-04-22,Total,2460
2021-04-23,New Zealand passport,1783
2021-04-23,Other passports,948
2021-04-23,Total,2731
2021-04-24,New Zealand passport,1137
2021-04-24,Other passports,736
2021-04-24,Total,1873
2021-04-25,New Zealand passport,1610
2021-04-25,Other passports,1129
2021-04-25,Total,2739
2021-04-26,New Zealand passport,1668
2021-04-26,Other passports,1192
2021-04-26,Total,2860
2021-04-27,New Zealand passport,1338
2021-04-27,Other passports,947
2021-04-27,Total,2285
2021-04-28,New Zealand passport,1316
2021-04-28,Other passports,855
2021-04-28,Total,2171
2021-04-29,New Zealand passport,1444
2021-04-29,Other passports,1141
2021-04-29,Total,2585
2021-04-30,New Zealand passport,1571
2021-04-30,Other passports,1068
2021-04-30,Total,2639
2021-05-01,New Zealand passport,1618
2021-05-01,Other passports,1003
2021-05-01,Total,2621
2021-05-02,New Zealand passport,2155
2021-05-02,Other passports,1568
2021-05-02,Total,3723
2021-05-03,New Zealand passport,2011
2021-05-03,Other passports,1501
2021-05-03,Total,3512
2021-05-04,New Zealand passport,1565
2021-05-04,Other passports,1077
2021-05-04,Total,2642
2021-05-05,New Zealand passport,1348
2021-05-05,Other passports,1124
2021-05-05,Total,2472
2021-05-06,New Zealand passport,1801
2021-05-06,Other passports,1367
2021-05-06,Total,3168
2021-05-07,New Zealand passport,1574
2021-05-07,Other passports,1360
2021-05-07,Total,2934
2021-05-08,New Zealand passport,1460
2021-05-08,Other passports,1142
2021-05-08,Total,2602
2021-05-09,New Zealand passport,2257
2021-05-09,Other passports,1514
2021-05-09,Total,3771
2021-05-10,New Zealand passport,2224
2021-05-10,Other passports,1204
2021-05-10,Total,3428
2021-05-11,New Zealand passport,1350
2021-05-11,Other passports,845
2021-05-11,Total,2195
2021-05-12,New Zealand passport,1741
2021-05-12,Other passports,1035
2021-05-12,Total,2776
2021-05-13,New Zealand passport,1767
2021-05-13,Other passports,1223
2021-05-13,Total,2990
2021-05-14,New Zealand passport,1811
2021-05-14,Other passports,1396
2021-05-14,Total,3207
2021-05-15,New Zealand passport,1666
2021-05-15,Other passports,1035
2021-05-15,Total,2701
2021-05-16,New Zealand passport,2508
2021-05-16,Other passports,1730
2021-05-16,Total,4238
2021-05-17,New Zealand passport,2023
2021-05-17,Other passports,1404
2021-05-17,Total,3427
2021-05-18,New Zealand passport,1878
2021-05-18,Other passports,1223
2021-05-18,Total,3101
2021-05-19,New Zealand passport,1695
2021-05-19,Other passports,1155
2021-05-19,Total,2850
2021-05-20,New Zealand passport,1906
2021-05-20,Other passports,1439
2021-05-20,Total,3345
2021-05-21,New Zealand passport,1874
2021-05-21,Other passports,1728
2021-05-21,Total,3602
2021-05-22,New Zealand passport,1968
2021-05-22,Other passports,1245
2021-05-22,Total,3213
2021-05-23,New Zealand passport,2488
2021-05-23,Other passports,1945
2021-05-23,Total,4433
2021-05-24,New Zealand passport,2068
2021-05-24,Other passports,1483
2021-05-24,Total,3551
2021-05-25,New Zealand passport,1673
2021-05-25,Other passports,1135
2021-05-25,Total,2808
2021-05-26,New Zealand passport,1485
2021-05-26,Other passports,1255
2021-05-26,Total,2740
2021-05-27,New Zealand passport,1668
2021-05-27,Other passports,1561
2021-05-27,Total,3229
2021-05-28,New Zealand passport,1608
2021-05-28,Other passports,1628
2021-05-28,Total,3236
2021-05-29,New Zealand passport,1651
2021-05-29,Other passports,1211
2021-05-29,Total,2862
2021-05-30,New Zealand passport,2050
2021-05-30,Other passports,1767
2021-05-30,Total,3817
2021-05-31,New Zealand passport,1636
2021-05-31,Other passports,1353
2021-05-31,Total,2989
2021-06-01,New Zealand passport,1658
2021-06-01,Other passports,1097
2021-06-01,Total,2755
2021-06-02,New Zealand passport,1439
2021-06-02,Other passports,1061
2021-06-02,Total,2500
2021-06-03,New Zealand passport,2227
2021-06-03,Other passports,1413
2021-06-03,Total,3640
2021-06-04,New Zealand passport,1895
2021-06-04,Other passports,1343
2021-06-04,Total,3238
2021-06-05,New Zealand passport,2147
2021-06-05,Other passports,1144
2021-06-05,Total,3291
2021-06-06,New Zealand passport,2067
2021-06-06,Other passports,1470
2021-06-06,Total,3537
2021-06-07,New Zealand passport,1538
2021-06-07,Other passports,1064
2021-06-07,Total,2602
2021-06-08,New Zealand passport,1593
2021-06-08,Other passports,985
2021-06-08,Total,2578
2021-06-09,New Zealand passport,1440
2021-06-09,Other passports,813
2021-06-09,Total,2253
2021-06-10,New Zealand passport,1985
2021-06-10,Other passports,1400
2021-06-10,Total,3385
2021-06-11,New Zealand passport,1811
2021-06-11,Other passports,1233
2021-06-11,Total,3044
2021-06-12,New Zealand passport,1826
2021-06-12,Other passports,1100
2021-06-12,Total,2926
2021-06-13,New Zealand passport,1896
2021-06-13,Other passports,1470
2021-06-13,Total,3366
2021-06-14,New Zealand passport,1687
2021-06-14,Other passports,1714
2021-06-14,Total,3401
2021-06-15,New Zealand passport,1619
2021-06-15,Other passports,1263
2021-06-15,Total,2882
2021-06-16,New Zealand passport,1518
2021-06-16,Other passports,1183
2021-06-16,Total,2701
2021-06-17,New Zealand passport,1827
2021-06-17,Other passports,1253
2021-06-17,Total,3080
2021-06-18,New Zealand passport,1858
2021-06-18,Other passports,1429
2021-06-18,Total,3287
2021-06-19,New Zealand passport,2041
2021-06-19,Other passports,1288
2021-06-19,Total,3329
2021-06-20,New Zealand passport,2082
2021-06-20,Other passports,1499
2021-06-20,Total,3581
2021-06-21,New Zealand passport,1884
2021-06-21,Other passports,1124
2021-06-21,Total,3008
2021-06-22,New Zealand passport,1573
2021-06-22,Other passports,1018
2021-06-22,Total,2591
2021-06-23,New Zealand passport,1386
2021-06-23,Other passports,927
2021-06-23,Total,2313
2021-06-24,New Zealand passport,2031
2021-06-24,Other passports,1618
2021-06-24,Total,3649
2021-06-25,New Zealand passport,1870
2021-06-25,Other passports,1499
2021-06-25,Total,3369
2021-06-26,New Zealand passport,2170
2021-06-26,Other passports,1408
2021-06-26,Total,3578
2021-06-27,New Zealand passport,1585
2021-06-27,Other passports,1628
2021-06-27,Total,3213
2021-06-28,New Zealand passport,1615
2021-06-28,Other passports,1221
2021-06-28,Total,2836
2021-06-29,New Zealand passport,864
2021-06-29,Other passports,893
2021-06-29,Total,1757
2021-06-30,New Zealand passport,1276
2021-06-30,Other passports,1230
2021-06-30,Total,2506
2021-07-01,New Zealand passport,1060
2021-07-01,Other passports,1225
2021-07-01,Total,2285
2021-07-02,New Zealand passport,1195
2021-07-02,Other passports,1139
2021-07-02,Total,2334
2021-07-03,New Zealand passport,1231
2021-07-03,Other passports,1052
2021-07-03,Total,2283
2021-07-04,New Zealand passport,1687
2021-07-04,Other passports,1328
2021-07-04,Total,3015
2021-07-05,New Zealand passport,1554
2021-07-05,Other passports,1423
2021-07-05,Total,2977
2021-07-06,New Zealand passport,959
2021-07-06,Other passports,708
2021-07-06,Total,1667
2021-07-07,New Zealand passport,1378
2021-07-07,Other passports,979
2021-07-07,Total,2357
2021-07-08,New Zealand passport,1684
2021-07-08,Other passports,1118
2021-07-08,Total,2802
2021-07-09,New Zealand passport,1636
2021-07-09,Other passports,1069
2021-07-09,Total,2705
2021-07-10,New Zealand passport,2417
2021-07-10,Other passports,1456
2021-07-10,Total,3873
2021-07-11,New Zealand passport,2321
2021-07-11,Other passports,1412
2021-07-11,Total,3733
2021-07-12,New Zealand passport,1502
2021-07-12,Other passports,951
2021-07-12,Total,2453
2021-07-13,New Zealand passport,1164
2021-07-13,Other passports,809
2021-07-13,Total,1973
2021-07-14,New Zealand passport,1301
2021-07-14,Other passports,772
2021-07-14,Total,2073
2021-07-15,New Zealand passport,1604
2021-07-15,Other passports,1412
2021-07-15,Total,3016
2021-07-16,New Zealand passport,1257
2021-07-16,Other passports,967
2021-07-16,Total,2224
2021-07-17,New Zealand passport,1484
2021-07-17,Other passports,999
2021-07-17,Total,2483
2021-07-18,New Zealand passport,1687
2021-07-18,Other passports,1559
2021-07-18,Total,3246
2021-07-19,New Zealand passport,1306
2021-07-19,Other passports,753
2021-07-19,Total,2059
2021-07-20,New Zealand passport,1011
2021-07-20,Other passports,907
2021-07-20,Total,1918
2021-07-21,New Zealand passport,921
2021-07-21,Other passports,814
2021-07-21,Total,1735
2021-07-22,New Zealand passport,1167
2021-07-22,Other passports,1130
2021-07-22,Total,2297
2021-07-23,New Zealand passport,1259
2021-07-23,Other passports,1020
2021-07-23,Total,2279
2021-07-24,New Zealand passport,1225
2021-07-24,Other passports,1117
2021-07-24,Total,2342
2021-07-25,New Zealand passport,1586
2021-07-25,Other passports,1600
2021-07-25,Total,3186
2021-07-26,New Zealand passport,1074
2021-07-26,Other passports,1015
2021-07-26,Total,2089
2021-07-27,New Zealand passport,855
2021-07-27,Other passports,740
2021-07-27,Total,1595
2021-07-28,New Zealand passport,869
2021-07-28,Other passports,902
2021-07-28,Total,1771
2021-07-29,New Zealand passport,1379
2021-07-29,Other passports,1303
2021-07-29,Total,2682
2021-07-30,New Zealand passport,1665
2021-07-30,Other passports,1531
2021-07-30,Total,3196
2021-07-31,New Zealand passport,881
2021-07-31,Other passports,370
2021-07-31,Total,1251
2021-08-01,New Zealand passport,855
2021-08-01,Other passports,610
2021-08-01,Total,1465
2021-08-02,New Zealand passport,436
2021-08-02,Other passports,218
2021-08-02,Total,654
2021-08-03,New Zealand passport,576
2021-08-03,Other passports,379
2021-08-03,Total,955
2021-08-04,New Zealand passport,621
2021-08-04,Other passports,383
2021-08-04,Total,1004
2021-08-05,New Zealand passport,828
2021-08-05,Other passports,681
2021-08-05,Total,1509
2021-08-06,New Zealand passport,705
2021-08-06,Other passports,277
2021-08-06,Total,982
2021-08-07,New Zealand passport,648
2021-08-07,Other passports,351
2021-08-07,Total,999
2021-08-08,New Zealand passport,745
2021-08-08,Other passports,389
2021-08-08,Total,1134
2021-08-09,New Zealand passport,402
2021-08-09,Other passports,112
2021-08-09,Total,514
2021-08-10,New Zealand passport,626
2021-08-10,Other passports,294
2021-08-10,Total,920
2021-08-11,New Zealand passport,725
2021-08-11,Other passports,226
2021-08-11,Total,951
2021-08-12,New Zealand passport,682
2021-08-12,Other passports,513
2021-08-12,Total,1195
2021-08-13,New Zealand passport,768
2021-08-13,Other passports,346
2021-08-13,Total,1114
2021-08-14,New Zealand passport,1162
2021-08-14,Other passports,394
2021-08-14,Total,1556
2021-08-15,New Zealand passport,876
2021-08-15,Other passports,372
2021-08-15,Total,1248
2021-08-16,New Zealand passport,779
2021-08-16,Other passports,273
2021-08-16,Total,1052
2021-08-17,New Zealand passport,711
2021-08-17,Other passports,267
2021-08-17,Total,978
2021-08-18,New Zealand passport,284
2021-08-18,Other passports,195
2021-08-18,Total,479
2021-08-19,New Zealand passport,392
2021-08-19,Other passports,347
2021-08-19,Total,739
2021-08-20,New Zealand passport,100
2021-08-20,Other passports,124
2021-08-20,Total,224
2021-08-21,New Zealand passport,152
2021-08-21,Other passports,140
2021-08-21,Total,292
2021-08-22,New Zealand passport,103
2021-08-22,Other passports,162
2021-08-22,Total,265
2021-08-23,New Zealand passport,92
2021-08-23,Other passports,80
2021-08-23,Total,172
2021-08-24,New Zealand passport,69
2021-08-24,Other passports,124
2021-08-24,Total,193
2021-08-25,New Zealand passport,102
2021-08-25,Other passports,119
2021-08-25,Total,221
2021-08-26,New Zealand passport,301
2021-08-26,Other passports,356
2021-08-26,Total,657
2021-08-27,New Zealand passport,81
2021-08-27,Other passports,141
2021-08-27,Total,222
2021-08-28,New Zealand passport,93
2021-08-28,Other passports,116
2021-08-28,Total,209
2021-08-29,New Zealand passport,130
2021-08-29,Other passports,176
2021-08-29,Total,306
2021-08-30,New Zealand passport,54
2021-08-30,Other passports,78
2021-08-30,Total,132
2021-08-31,New Zealand passport,77
2021-08-31,Other passports,95
2021-08-31,Total,172
2021-09-01,New Zealand passport,72
2021-09-01,Other passports,113
2021-09-01,Total,185
2021-09-02,New Zealand passport,199
2021-09-02,Other passports,332
2021-09-02,Total,531
2021-09-03,New Zealand passport,105
2021-09-03,Other passports,149
2021-09-03,Total,254
2021-09-04,New Zealand passport,76
2021-09-04,Other passports,113
2021-09-04,Total,189
2021-09-05,New Zealand passport,143
2021-09-05,Other passports,164
2021-09-05,Total,307
2021-09-06,New Zealand passport,35
2021-09-06,Other passports,65
2021-09-06,Total,100
2021-09-07,New Zealand passport,69
2021-09-07,Other passports,129
2021-09-07,Total,198
2021-09-08,New Zealand passport,47
2021-09-08,Other passports,70
2021-09-08,Total,117
2021-09-09,New Zealand passport,194
2021-09-09,Other passports,288
2021-09-09,Total,482
2021-09-10,New Zealand passport,101
2021-09-10,Other passports,154
2021-09-10,Total,255
2021-09-11,New Zealand passport,78
2021-09-11,Other passports,133
2021-09-11,Total,211
2021-09-12,New Zealand passport,108
2021-09-12,Other passports,127
2021-09-12,Total,235
2021-09-13,New Zealand passport,33
2021-09-13,Other passports,52
2021-09-13,Total,85
2021-09-14,New Zealand passport,69
2021-09-14,Other passports,92
2021-09-14,Total,161
2021-09-15,New Zealand passport,64
2021-09-15,Other passports,116
2021-09-15,Total,180
2021-09-16,New Zealand passport,198
2021-09-16,Other passports,333
2021-09-16,Total,531
2021-09-17,New Zealand passport,59
2021-09-17,Other passports,177
2021-09-17,Total,236
2021-09-18,New Zealand passport,97
2021-09-18,Other passports,98
2021-09-18,Total,195
2021-09-19,New Zealand passport,150
2021-09-19,Other passports,135
2021-09-19,Total,285
2021-09-20,New Zealand passport,36
2021-09-20,Other passports,72
2021-09-20,Total,108
2021-09-21,New Zealand passport,77
2021-09-21,Other passports,193
2021-09-21,Total,270
2021-09-22,New Zealand passport,67
2021-09-22,Other passports,84
2021-09-22,Total,151
2021-09-23,New Zealand passport,187
2021-09-23,Other passports,301
2021-09-23,Total,488
2021-09-24,New Zealand passport,116
2021-09-24,Other passports,177
2021-09-24,Total,293
2021-09-25,New Zealand passport,104
2021-09-25,Other passports,266
2021-09-25,Total,370
2021-09-26,New Zealand passport,97
2021-09-26,Other passports,86
2021-09-26,Total,183
2021-09-27,New Zealand passport,66
2021-09-27,Other passports,79
2021-09-27,Total,145
2021-09-28,New Zealand passport,51
2021-09-28,Other passports,130
2021-09-28,Total,181
2021-09-29,New Zealand passport,63
2021-09-29,Other passports,131
2021-09-29,Total,194
2021-09-30,New Zealand passport,217
2021-09-30,Other passports,518
2021-09-30,Total,735
2021-10-01,New Zealand passport,47
2021-10-01,Other passports,106
2021-10-01,Total,153
2021-10-02,New Zealand passport,136
2021-10-02,Other passports,257
2021-10-02,Total,393
2021-10-03,New Zealand passport,132
2021-10-03,Other passports,155
2021-10-03,Total,287
2021-10-04,New Zealand passport,53
2021-10-04,Other passports,79
2021-10-04,Total,132
2021-10-05,New Zealand passport,56
2021-10-05,Other passports,214
2021-10-05,Total,270
2021-10-06,New Zealand passport,65
2021-10-06,Other passports,220
2021-10-06,Total,285
2021-10-07,New Zealand passport,236
2021-10-07,Other passports,335
2021-10-07,Total,571
2021-10-08,New Zealand passport,100
2021-10-08,Other passports,165
2021-10-08,Total,265
2021-10-09,New Zealand passport,132
2021-10-09,Other passports,157
2021-10-09,Total,289
2021-10-10,New Zealand passport,148
2021-10-10,Other passports,207
2021-10-10,Total,355
2021-10-11,New Zealand passport,67
2021-10-11,Other passports,76
2021-10-11,Total,143
2021-10-12,New Zealand passport,67
2021-10-12,Other passports,180
2021-10-12,Total,247
2021-10-13,New Zealand passport,69
2021-10-13,Other passports,141
2021-10-13,Total,210
2021-10-14,New Zealand passport,222
2021-10-14,Other passports,533
2021-10-14,Total,755
2021-10-15,New Zealand passport,333
2021-10-15,Other passports,219
2021-10-15,Total,552
2021-10-16,New Zealand passport,139
2021-10-16,Other passports,174
2021-10-16,Total,313
2021-10-17,New Zealand passport,117
2021-10-17,Other passports,145
2021-10-17,Total,262
2021-10-18,New Zealand passport,57
2021-10-18,Other passports,77
2021-10-18,Total,134
2021-10-19,New Zealand passport,85
2021-10-19,Other passports,148
2021-10-19,Total,233
2021-10-20,New Zealand passport,74
2021-10-20,Other passports,128
2021-10-20,Total,202
2021-10-21,New Zealand passport,166
2021-10-21,Other passports,391
2021-10-21,Total,557
2021-10-22,New Zealand passport,98
2021-10-22,Other passports,275
2021-10-22,Total,373
2021-10-23,New Zealand passport,138
2021-10-23,Other passports,164
2021-10-23,Total,302
2021-10-24,New Zealand passport,109
2021-10-24,Other passports,146
2021-10-24,Total,255
2021-10-25,New Zealand passport,58
2021-10-25,Other passports,88
2021-10-25,Total,146
2021-10-26,New Zealand passport,73
2021-10-26,Other passports,185
2021-10-26,Total,258
2021-10-27,New Zealand passport,73
2021-10-27,Other passports,293
2021-10-27,Total,366
2021-10-28,New Zealand passport,259
2021-10-28,Other passports,411
2021-10-28,Total,670
2021-10-29,New Zealand passport,78
2021-10-29,Other passports,178
2021-10-29,Total,256
2021-10-30,New Zealand passport,142
2021-10-30,Other passports,184
2021-10-30,Total,326
2021-10-31,New Zealand passport,74
2021-10-31,Other passports,118
2021-10-31,Total,192
2021-11-01,New Zealand passport,270
2021-11-01,Other passports,394
2021-11-01,Total,664
2021-11-02,New Zealand passport,106
2021-11-02,Other passports,157
2021-11-02,Total,263
2021-11-03,New Zealand passport,302
2021-11-03,Other passports,304
2021-11-03,Total,606
2021-11-04,New Zealand passport,290
2021-11-04,Other passports,366
2021-11-04,Total,656
2021-11-05,New Zealand passport,409
2021-11-05,Other passports,448
2021-11-05,Total,857
2021-11-06,New Zealand passport,85
2021-11-06,Other passports,206
2021-11-06,Total,291
2021-11-07,New Zealand passport,321
2021-11-07,Other passports,294
2021-11-07,Total,615
2021-11-08,New Zealand passport,94
2021-11-08,Other passports,126
2021-11-08,Total,220
2021-11-09,New Zealand passport,83
2021-11-09,Other passports,210
2021-11-09,Total,293
2021-11-10,New Zealand passport,216
2021-11-10,Other passports,224
2021-11-10,Total,440
2021-11-11,New Zealand passport,203
2021-11-11,Other passports,398
2021-11-11,Total,601
2021-11-12,New Zealand passport,404
2021-11-12,Other passports,457
2021-11-12,Total,861
2021-11-13,New Zealand passport,208
2021-11-13,Other passports,337
2021-11-13,Total,545
2021-11-14,New Zealand passport,389
2021-11-14,Other passports,361
2021-11-14,Total,750
2021-11-15,New Zealand passport,115
2021-11-15,Other passports,155
2021-11-15,Total,270
2021-11-16,New Zealand passport,153
2021-11-16,Other passports,284
2021-11-16,Total,437
2021-11-17,New Zealand passport,220
2021-11-17,Other passports,309
2021-11-17,Total,529
2021-11-18,New Zealand passport,193
2021-11-18,Other passports,366
2021-11-18,Total,559
2021-11-19,New Zealand passport,544
2021-11-19,Other passports,438
2021-11-19,Total,982
2021-11-20,New Zealand passport,165
2021-11-20,Other passports,276
2021-11-20,Total,441
2021-11-21,New Zealand passport,428
2021-11-21,Other passports,319
2021-11-21,Total,747
2021-11-22,New Zealand passport,146
2021-11-22,Other passports,254
2021-11-22,Total,400
2021-11-23,New Zealand passport,122
2021-11-23,Other passports,299
2021-11-23,Total,421
2021-11-24,New Zealand passport,199
2021-11-24,Other passports,237
2021-11-24,Total,436
2021-11-25,New Zealand passport,222
2021-11-25,Other passports,384
2021-11-25,Total,606
2021-11-26,New Zealand passport,367
2021-11-26,Other passports,417
2021-11-26,Total,784
2021-11-27,New Zealand passport,128
2021-11-27,Other passports,216
2021-11-27,Total,344
2021-11-28,New Zealand passport,372
2021-11-28,Other passports,281
2021-11-28,Total,653
2021-11-29,New Zealand passport,117
2021-11-29,Other passports,195
2021-11-29,Total,312
2021-11-30,New Zealand passport,231
2021-11-30,Other passports,556
2021-11-30,Total,787
2021-12-01,New Zealand passport,615
2021-12-01,Other passports,494
2021-12-01,Total,1109
2021-12-02,New Zealand passport,488
2021-12-02,Other passports,651
2021-12-02,Total,1139
2021-12-03,New Zealand passport,798
2021-12-03,Other passports,620
2021-12-03,Total,1418
2021-12-04,New Zealand passport,369
2021-12-04,Other passports,664
2021-12-04,Total,1033
2021-12-05,New Zealand passport,365
2021-12-05,Other passports,451
2021-12-05,Total,816
2021-12-06,New Zealand passport,366
2021-12-06,Other passports,437
2021-12-06,Total,803
2021-12-07,New Zealand passport,305
2021-12-07,Other passports,417
2021-12-07,Total,722
2021-12-08,New Zealand passport,448
2021-12-08,Other passports,480
2021-12-08,Total,928
2021-12-09,New Zealand passport,395
2021-12-09,Other passports,618
2021-12-09,Total,1013
2021-12-10,New Zealand passport,588
2021-12-10,Other passports,576
2021-12-10,Total,1164
2021-12-11,New Zealand passport,258
2021-12-11,Other passports,296
2021-12-11,Total,554
2021-12-12,New Zealand passport,267
2021-12-12,Other passports,293
2021-12-12,Total,560
2021-12-13,New Zealand passport,381
2021-12-13,Other passports,379
2021-12-13,Total,760
2021-12-14,New Zealand passport,261
2021-12-14,Other passports,240
2021-12-14,Total,501
2021-12-15,New Zealand passport,560
2021-12-15,Other passports,563
2021-12-15,Total,1123
2021-12-16,New Zealand passport,498
2021-12-16,Other passports,800
2021-12-16,Total,1298
2021-12-17,New Zealand passport,703
2021-12-17,Other passports,633
2021-12-17,Total,1336
2021-12-18,New Zealand passport,401
2021-12-18,Other passports,548
2021-12-18,Total,949
2021-12-19,New Zealand passport,397
2021-12-19,Other passports,307
2021-12-19,Total,704
2021-12-20,New Zealand passport,483
2021-12-20,Other passports,541
2021-12-20,Total,1024
2021-12-21,New Zealand passport,419
2021-12-21,Other passports,389
2021-12-21,Total,808
2021-12-22,New Zealand passport,425
2021-12-22,Other passports,403
2021-12-22,Total,828
2021-12-23,New Zealand passport,487
2021-12-23,Other passports,584
2021-12-23,Total,1071
2021-12-24,New Zealand passport,344
2021-12-24,Other passports,329
2021-12-24,Total,673
2021-12-25,New Zealand passport,189
2021-12-25,Other passports,161
2021-12-25,Total,350
2021-12-26,New Zealand passport,298
2021-12-26,Other passports,202
2021-12-26,Total,500
2021-12-27,New Zealand passport,376
2021-12-27,Other passports,285
2021-12-27,Total,661
2021-12-28,New Zealand passport,302
2021-12-28,Other passports,244
2021-12-28,Total,546
2021-12-29,New Zealand passport,380
2021-12-29,Other passports,233
2021-12-29,Total,613
2021-12-30,New Zealand passport,413
2021-12-30,Other passports,388
2021-12-30,Total,801
2021-12-31,New Zealand passport,332
2021-12-31,Other passports,276
2021-12-31,Total,608
2022-01-01,New Zealand passport,99
2022-01-01,Other passports,140
2022-01-01,Total,239
2022-01-02,New Zealand passport,280
2022-01-02,Other passports,190
2022-01-02,Total,470
2022-01-03,New Zealand passport,255
2022-01-03,Other passports,194
2022-01-03,Total,449
2022-01-04,New Zealand passport,246
2022-01-04,Other passports,213
2022-01-04,Total,459
2022-01-05,New Zealand passport,393
2022-01-05,Other passports,305
2022-01-05,Total,698
2022-01-06,New Zealand passport,317
2022-01-06,Other passports,365
2022-01-06,Total,682
2022-01-07,New Zealand passport,482
2022-01-07,Other passports,339
2022-01-07,Total,821
2022-01-08,New Zealand passport,257
2022-01-08,Other passports,227
2022-01-08,Total,484
2022-01-09,New Zealand passport,405
2022-01-09,Other passports,230
2022-01-09,Total,635
2022-01-10,New Zealand passport,282
2022-01-10,Other passports,297
2022-01-10,Total,579
2022-01-11,New Zealand passport,258
2022-01-11,Other passports,208
2022-01-11,Total,466
2022-01-12,New Zealand passport,301
2022-01-12,Other passports,186
2022-01-12,Total,487
2022-01-13,New Zealand passport,319
2022-01-13,Other passports,450
2022-01-13,Total,769
2022-01-14,New Zealand passport,693
2022-01-14,Other passports,398
2022-01-14,Total,1091
2022-01-15,New Zealand passport,561
2022-01-15,Other passports,304
2022-01-15,Total,865
2022-01-16,New Zealand passport,693
2022-01-16,Other passports,229
2022-01-16,Total,922
2022-01-17,New Zealand passport,694
2022-01-17,Other passports,278
2022-01-17,Total,972
2022-01-18,New Zealand passport,592
2022-01-18,Other passports,287
2022-01-18,Total,879
2022-01-19,New Zealand passport,780
2022-01-19,Other passports,278
2022-01-19,Total,1058
2022-01-20,New Zealand passport,554
2022-01-20,Other passports,422
2022-01-20,Total,976
2022-01-21,New Zealand passport,569
2022-01-21,Other passports,241
2022-01-21,Total,810
2022-01-22,New Zealand passport,611
2022-01-22,Other passports,215
2022-01-22,Total,826
2022-01-23,New Zealand passport,520
2022-01-23,Other passports,188
2022-01-23,Total,708
2022-01-24,New Zealand passport,606
2022-01-24,Other passports,174
2022-01-24,Total,780
2022-01-25,New Zealand passport,604
2022-01-25,Other passports,257
2022-01-25,Total,861
2022-01-26,New Zealand passport,717
2022-01-26,Other passports,305
